,address,lat,lng,name
74,"Nothing, AZ 85360, USA",34.4800159,-113.3359264,Nothing
75,"5739 Cr 6200, Cherryvale, KS 67335, USA",37.3547619,-95.5701352,So
76,"Lil' Toledo Lodge, 10600 170th Rd, Chanute, KS 66720, USA",37.616035,-95.343248,Lil
77,"11 E Illinois St Ste 501, Chicago, IL 60611, USA",41.8906454,-87.6274522,Albert
78,"Lil' Toledo Lodge, 10600 170th Rd, Chanute, KS 66720, USA",37.616035,-95.343248,Lil
79,"11 E Illinois St Ste 501, Chicago, IL 60611, USA",41.8906454,-87.6274522,Albert
80,"3101 N Rock Rd, Wichita, KS 67226, USA",37.7402585,-97.245723,Oh
81,"11 E Illinois St Ste 501, Chicago, IL 60611, USA",41.8906454,-87.6274522,Albert
82,"3650 Camelot Dr, Bartlesville, OK 74006, USA",36.7071244,-95.9370565,George
83,"4230 Douglas Rd, Thayer, KS 66776, USA",37.4287745,-95.4709407,Well
84,"11 E Illinois St Ste 501, Chicago, IL 60611, USA",41.8906454,-87.6274522,Albert
85,"4230 Douglas Rd, Thayer, KS 66776, USA",37.4287745,-95.4709407,Well
86,"12150 E 96th St N, Owasso, OK 74055, USA",36.2914338,-95.83857920000001,Sunday
87,"11 E Illinois St Ste 501, Chicago, IL 60611, USA",41.8906454,-87.6274522,Albert
88,"Goodnight, MO, USA",37.4521071,-93.23196779999999,Goonight
89,"1801 East Dr, Bartlesville, OK 74006, USA",36.724289,-95.9136709,Bill
90,"Goodnight, MO, USA",37.4521071,-93.23196779999999,Goonight
91,"412 S Main St, Tulsa, OK 74103, USA",36.1519518,-95.99051140000002,Lou
92,"Goodnight, MO, USA",37.4521071,-93.23196779999999,Goonight
93,"May, Millfield, OH 45761, USA",39.4042837,-82.12478349999999,May
94,"Goodnight, MO, USA",37.4521071,-93.23196779999999,Goonight
95,"2775 US-75, Lebo, KS 66856, USA",38.4274457,-95.72731279999999,Ta
96,"Goodnight, MO, USA",37.4521071,-93.23196779999999,Goonight
97,"Goodnight, MO, USA",37.4521071,-93.23196779999999,Goonight
98,"111 E Chestnut St, Coweta, OK 74429, USA",35.9521076,-95.650038,Good
99,"416 S Commerce #106, Wichita, KS 67202, USA",37.681816,-97.330798,Clutch
100,"Sweet, San Antonio, TX 78204, USA",29.4114505,-98.49931199999999,Sweet
101,"River Thames, United Kingdom",51.57448429999999,-0.6100188,Thames
102,"Salina, OK 74365, USA",36.292683,-95.1529171,Silk
103,"150 Bay St #2a, Jersey City, NJ 07302, USA",40.7210221,-74.03994589999999,Departed
104,"1 Morris St, New York, NY 10004, USA",40.7059138,-74.01412289999999,Leman
105,"River Thames, United Kingdom",51.57448429999999,-0.6100188,Thames
106,"Sweet, San Antonio, TX 78204, USA",29.4114505,-98.49931199999999,Sweet
107,"River Thames, United Kingdom",51.57448429999999,-0.6100188,Thames
108,"1532 Magazine St Suite A, New Orleans, LA 70130, USA",29.9336654,-90.0726507,Musing
109,"1400 W 4th St, Coffeyville, KS 67337, USA",37.0412191,-95.6393166,White
110,"Boardman, OH 44512, USA",41.0058703,-80.6629344,Sweeney
111,"506 Main St, Neodesha, KS 66757, USA",37.4176935,-95.68017239999999,Porter
112,"506 Main St, Neodesha, KS 66757, USA",37.4176935,-95.68017239999999,Porter
113,"1351B Redwood Way, Petaluma, CA 94954, USA",38.2766295,-122.6669266,Twit
114,"3610 Central Ave, Middletown, OH 45044, USA",39.511026,-84.365719,Jug
115,"5739 Cr 6200, Cherryvale, KS 67335, USA",37.3547619,-95.5701352,So
116,"Profsoyuznaya Ulitsa, 34, Kazan, Respublika Tatarstan, Russia, 420111",55.79003729999999,49.1186664,Unreal
117,"1407 N 8th St, Neodesha, KS 66757, USA",37.432104,-95.68372339999999,City
118,"798 Neapolitan Way, Naples, FL 34103, USA",26.2022088,-81.80251559999999,Eugenides
119,"Izmir, ?zmir, Turkey",38.423734,27.142826,Smyrna
120,"London, UK",51.5073509,-0.1277583,London
121,"3200 Regent Blvd, Irving, TX 75063, USA",32.9193119,-96.98762409999999,Cannon
122,"812 W Maple St, Independence, KS 67301, USA",37.22244999999999,-95.7168962,Street
123,"201 N 8th St, Independence, KS 67301, USA",37.2248874,-95.7083943,Hotel
124,"Al Batal Ahamed Abd Al Asas, Madinet Tala, Tala, Menofia Governorate, Egypt",30.6834662,30.9448895,Followed
125,"609 Walnut St, Cincinnati, OH 45202, USA",39.103132,-84.51202599999999,Metropole
126,"2240 Industrial Rd, Sapulpa, OK 74066, USA",36.02714,-96.10323319999999,Turn
127,"101 N Rangeline Rd, Joplin, MO 64801, USA",37.091711,-94.4741605,Old
128,"13132 NE 177th Pl, Woodinville, WA 98072, USA",47.7561733,-122.1642369,Homeward
129,"1400 W Walnut St #124, Rogers, AR 72756, USA",36.3329943,-94.13703339999999,Her
130,"1400 W Walnut St #124, Rogers, AR 72756, USA",36.3329943,-94.13703339999999,Her
131,"11344 E 11th St, Tulsa, OK 74128, USA",36.1476871,-95.8496437,Stockings
132,"Bradford, UK",53.795984,-1.759398,Bradford
133,"520 W Erie St #440, Chicago, IL 60654, USA",41.894031,-87.642335,Endeavours
134,"1335 S Main St, Bentonville, AR 72712, USA",36.3575824,-94.2091738,Which
135,"Flush, Pottawatomie, KS 66535, USA",39.2944407,-96.4405567,Flushed
136,"Thiva 322 00, Greece",38.322579,23.3204309,Thebes
137,"3000 Chestnut Ave #336, Baltimore, MD 21211, USA",39.3243981,-76.6296761,Hardly
138,"1400 W Walnut St #124, Rogers, AR 72756, USA",36.3329943,-94.13703339999999,Her
139,"4416 W Houston St, Broken Arrow, OK 74012, USA",36.04698,-95.84503500000001,Strand
140,"Queens, NY, USA",40.7282239,-73.7948516,Queen
141,"Victoria, Australia",-37.4713077,144.7851531,Victoria
142,"812 W Maple St, Independence, KS 67301, USA",37.22244999999999,-95.7168962,Street
143,"1407 N 8th St, Neodesha, KS 66757, USA",37.432104,-95.68372339999999,City
144,"219 Evans Rd, Mannford, OK 74044, USA",36.1210062,-96.3524925,Lower
145,"River Thames, United Kingdom",51.57448429999999,-0.6100188,Thames
146,"812 W Maple St, Independence, KS 67301, USA",37.22244999999999,-95.7168962,Street
147,"14800 Quorum Dr #140, Dallas, TX 75254, USA",32.9490204,-96.8249527,Where
148,"800 Washington St, Great Bend, KS 67530, USA",38.3594392,-98.7739771,Magnus
149,"1815 SE Bison, Bartlesville, OK 74006, USA",36.722156,-95.90236,Martyr
150,"Oil, Denton, TX 76208, USA",33.2131993,-97.0716877,Oil
151,"2110 S Santa Fe Ave, Chanute, KS 66720, USA",37.6597416,-95.4519301,Red
152,"Wide, St George, GA 31562, USA",30.5416918,-82.134551,Wide
153,"414 N 7th St, Fredonia, KS 66736, USA",37.5341713,-95.8262622,Down
154,"Greenwich, London SE10 9NN, UK",51.48257659999999,-0.0076589,Greenwich
155,"Isle, MN, USA",46.138011,-93.4707923,Isle
156,"Dogs, Lewis, KS 67552, USA",37.8127193,-99.1790311,Dogs
157,"Wallala SA 5661, Australia",-32.3211555,134.6183676,Wallala
158,"Elizabeth, NJ, USA",40.6639916,-74.2107006,Elizabeth
159,"Leicester, UK",52.6368778,-1.1397592,Leicester
160,"1246 Towne Lake Pkwy, Woodstock, GA 30189, USA",34.10417090000001,-84.53969909999999,Beating
161,"2110 S Santa Fe Ave, Chanute, KS 66720, USA",37.6597416,-95.4519301,Red
162,"5300 S Meridian Ave, Oklahoma City, OK 73119, USA",35.4129852,-97.5985795,Southwest
163,"1400 W 4th St, Coffeyville, KS 67337, USA",37.0412191,-95.6393166,White
164,"Wallala SA 5661, Australia",-32.3211555,134.6183676,Wallala
165,"211 N Greenwood Ave, Fort Smith, AR 72901, USA",35.3773755,-94.403843,Trams
166,"Highbury, London N5 2DQ, UK",51.5498969,-0.0980629,Highbury
167,"Richmond, VA, USA",37.5407246,-77.4360481,Richmond
168,"Kew, Richmond TW9, UK",51.475251,-0.2848908,Kew
169,"Richmond, VA, USA",37.5407246,-77.4360481,Richmond
170,"Independence, KS 67301, USA",37.2242358,-95.7083131,My
171,"Moorgate, London, UK",51.5170735,-0.08878409999999999,Moorgate
172,"Margate, FL, USA",26.2445263,-80.206436,Margate
173,"1250 Tank Ave, Neodesha, KS 66757, USA",37.4279392,-95.6901515,Sands
174,"Los Angeles, CA, USA",34.0522342,-118.2436849,la
175,"Burning Tree, Tulsa, OK 74133, USA",36.0718374,-95.8762768,Burning
176,"3003 Rooks Rd, Bartlett, KS 67332, USA",37.0339844,-95.2136391,Lord
177,"419 E 18th St, Kansas City, MO 64108, USA",39.0914471,-94.57805909999999,Thou
178,"3003 Rooks Rd, Bartlett, KS 67332, USA",37.0339844,-95.2136391,Lord
179,"419 E 18th St, Kansas City, MO 64108, USA",39.0914471,-94.57805909999999,Thou
180,"6000 E Camelback Rd, Scottsdale, AZ 85251, USA",33.5077238,-111.9497358,Phoenician
181,"Gentile, Lackland AFB, TX 78236, USA",29.3861115,-98.626171,Gentile
182,"2021 E 71st St, Tulsa, OK 74136, USA",36.062672,-95.963437,Jew
183,"145 Elm St, New Canaan, CT 06840, USA",41.14682610000001,-73.4949868,Consider
184,"442586 East 250 Road, Vinita, OK 74301, USA",36.6611264,-95.11855,Prison
185,"130-146 US-69, Franklin, KS 66735, USA",37.50847900000001,-94.7047425,Rock
186,"118 E 21st St N, Wichita, KS 67214, USA",37.7226767,-97.3375658,Amongst
187,"901 S 12th St, Humboldt, KS 66748, USA",37.8013948,-95.4318126,Sweat
188,"45 Log Ln DEAD, Cotopaxi, CO 81223, USA",38.3706368,-105.5153527,Dead
189,"5124 S 95th E Ave, Tulsa, OK 74145, USA",36.0890467,-95.8712146,From
190,"500 N Muskogee Ave unit a, Tahlequah, OK 74464, USA",35.917511,-94.968655,Drip
191,"100 Broad St SW, Atlanta, GA 30303, USA",33.751778,-84.393036,Murmur
192,"510 Mason Rd, Katy, TX 77450, USA",29.7764803,-95.75199590000001,Cracks
193,"Jerusalem, Israel",31.768319,35.21371,Jerusalem
194,"Athens, Greece",37.9838096,23.7275388,Athens
195,"Alexandria, Alexandria Governorate, Egypt",31.2000924,29.9187387,Alexandria
196,"Vienna, Austria",48.2081743,16.3738189,Vienna
197,"London, UK",51.5073509,-0.1277583,London
198,"Profsoyuznaya Ulitsa, 34, Kazan, Respublika Tatarstan, Russia, 420111",55.79003729999999,49.1186664,Unreal
199,"6714 Hollywood Blvd, Los Angeles, CA 90028, USA",34.1014255,-118.3367545,Whistled
200,"Dryden Hall, 106 N 9th St, Cheney, WA 99004, USA",47.49425550000001,-117.582645,Dry
201,"1316 W 11th St, Coffeyville, KS 67337, USA",37.0335516,-95.63760169999999,Co
202,"9160 E Shea Blvd Suite 106, Scottsdale, AZ 85260, USA",33.5837032,-111.8837393,Bringing
203,Ganges,27.4036401,83.0319706,Ganga
204,"Waited St, Raven, VA 24639, USA",37.0843881,-81.861886,Waited
205,"202 N Kaw Ave, Bartlesville, OK 74003, USA",36.755534,-95.98791399999999,Gathered
206,"1 S Central Ave, Valley Stream, NY 11580, USA",40.667317,-73.707765,Datta
207,"Independence, KS 67301, USA",37.2242358,-95.7083131,My
208,"1335 S Main St, Bentonville, AR 72712, USA",36.3575824,-94.2091738,Which
209,"1335 S Main St, Bentonville, AR 72712, USA",36.3575824,-94.2091738,Which
210,"Oregon, USA",43.8041334,-120.5542012,Or
211,"Oregon, USA",43.8041334,-120.5542012,Or
212,"2240 Industrial Rd, Sapulpa, OK 74066, USA",36.02714,-96.10323319999999,Turn
213,"5809 Reeds, Lower Level, Mission, KS 66202, United States",39.0237038,-94.6510746,Thinking
214,"1444 E Stearns St, Fayetteville, AR 72703, USA",36.1234204,-94.1385931,Revive
215,"Coriolanus Ct, Charlotte, NC 28227, USA",35.2134445,-80.7015169,Coriolanus
216,"Gaily Ln, Quaker City, OH 43773, USA",40.0253642,-81.3148819,Gaily
217,"6101 E Apache St, Tulsa, OK 74115, USA",36.1941621,-95.9102111,Fishing
218,"2260 W Main St, Norman, OK 73069, USA",35.2183524,-97.4744623,Shall
219,"London, UK",51.5073509,-0.1277583,London
220,"Andes Bridge, 18216 192nd Rd, Winfield, KS 67156, USA",37.2010393,-96.84223,Bridge
221,"5000 Estate Enighed, Independence, KS 67301, USA",37.09024,-95.712891,Poi
222,"Quando Dr, Belle Isle, FL 32812, USA",28.4705391,-81.335076,Quando
223,"1321 N 8th St, Neodesha, KS 66757, USA",37.4317175,-95.68413,Le
224,"502 W Randol Mill Rd, Arlington, TX 76011, USA",32.7497577,-97.11180259999999,Prince
225,"Aquitaine, France",44.7002222,-0.2995785,Aquitaine
226,"9903 W 129th St, Shawnee Mission, KS 66213, USA",38.893997,-94.70125,Ile
227,"1 S Central Ave, Valley Stream, NY 11580, USA",40.667317,-73.707765,Datta
228,"Shantih, 14 Hartland's Rd, The Lough, Cork, T12 V0FV, Ireland",51.8890576,-8.488283299999999,Shantih
